match_id,player_id,started,minutes_played,goals,assists,shots,shots_on_target,passes_completed,passes_attempted,progressive_passes,key_passes,progressive_carries,tackles,interceptions,blocks,yellow_cards,red_cards,saves,xg,xag,pass_pct,save_pct,psxg
ARG_20221122_Saudi_Arab,9,False,90,0,0,0,0,57,68,0,1,0,2,0,1,0,0,0,0.0,0.0,,,
ARG_20221122_Saudi_Arab,54,False,32,0,0,1,1,0,8,0,0,0,1,0,1,0,0,0,0.061,0.0,,,
ARG_20221122_Saudi_Arab,35,False,32,0,0,1,0,33,38,0,0,0,0,0,0,0,0,0,0.037,0.0,,,
ARG_20240626_Chile,15,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20240626_Chile,37,False,27,0,0,1,1,15,19,0,0,0,1,0,0,0,0,0,0.487,0.0,,,
ARG_20240626_Chile,41,False,90,0,0,1,0,35,39,0,5,0,1,0,0,0,0,0,0.04,0.0,,,
ARG_20240626_Chile,23,False,82,0,0,0,0,47,54,0,0,0,3,1,1,0,0,0,0.0,0.0,,,
ARG_20240626_Chile,16,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20240626_Chile,33,False,90,0,0,4,0,57,68,0,2,0,2,0,5,0,0,0,0.104,0.0,,,
ARG_20240626_Chile,52,False,18,1,0,3,2,3,3,0,0,0,0,0,1,0,0,0,0.823,0.0,,,
ARG_20240626_Chile,27,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20240626_Chile,22,False,8,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0.0,0.0,,,
ARG_20240626_Chile,18,False,90,0,0,1,0,60,72,0,0,0,5,2,3,0,0,0,0.085,0.0,,,
ARG_20240626_Chile,45,False,72,0,0,3,2,37,41,0,4,0,2,2,2,0,0,0,0.214,0.0,,,
ARG_20240626_Chile,28,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20240626_Chile,14,False,90,0,0,1,0,78,86,0,2,0,1,2,1,0,0,0,0.05,0.0,,,
ARG_20240626_Chile,36,False,90,0,0,4,1,55,59,0,0,0,3,2,2,0,0,0,0.486,0.0,,,
ARG_20240626_Chile,8,False,8,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20240626_Chile,34,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20240626_Chile,12,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20240626_Chile,9,False,82,0,0,1,1,41,50,0,0,0,1,2,3,0,0,0,0.147,0.0,,,
ARG_20240626_Chile,54,False,72,0,0,2,1,17,17,0,0,0,2,1,1,0,0,0,0.327,0.0,,,
ARG_20240626_Chile,35,False,63,0,0,1,1,41,46,0,4,0,1,0,0,0,0,0,0.022,0.0,,,
ARG_20240626_Chile,46,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20240630_Peru,15,False,90,0,0,0,0,79,84,0,0,0,1,0,1,0,0,0,0.0,0.0,,,
ARG_20240630_Peru,37,False,65,0,0,1,1,40,45,0,0,0,2,0,2,0,0,0,0.098,0.0,,,
ARG_20240630_Peru,41,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20240630_Peru,23,False,90,0,0,0,0,82,88,0,2,0,1,1,0,0,0,0,0.0,0.0,,,
ARG_20240630_Peru,16,False,81,0,0,1,0,59,64,0,0,0,1,1,2,0,0,0,0.022,0.0,,,
ARG_20240630_Peru,33,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20240630_Peru,52,False,90,2,0,4,3,12,14,0,0,0,2,0,2,0,0,0,0.971,0.0,,,
ARG_20240630_Peru,27,False,77,0,0,2,1,61,68,0,1,0,2,0,1,1,0,0,0.817,0.0,,,
ARG_20240630_Peru,22,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20240630_Peru,18,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20240630_Peru,45,False,26,0,0,0,0,6,9,0,0,0,1,1,2,0,0,0,0.0,0.0,,,
ARG_20240630_Peru,28,False,13,0,0,0,0,16,17,0,0,0,1,0,0,0,0,0,0.0,0.0,,,
ARG_20240630_Peru,14,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20240630_Peru,36,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20240630_Peru,8,False,90,0,0,0,0,69,78,0,1,0,1,1,3,0,0,0,0.0,0.0,,,
ARG_20240630_Peru,34,False,90,0,0,0,0,62,66,0,1,0,4,1,1,0,0,0,0.0,0.0,,,
ARG_20240630_Peru,12,False,9,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20240630_Peru,9,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20240630_Peru,54,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20240630_Peru,35,False,25,0,0,1,0,16,18,0,1,0,0,0,0,0,0,0,0.053,0.0,,,
ARG_20240630_Peru,46,False,64,0,0,2,0,18,22,0,0,0,2,1,0,0,0,0,0.123,0.0,,,
ARG_20240715_Colombia,15,False,-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20240715_Colombia,37,False,-6,0,1,0,0,7,7,0,0,0,0,0,0,1,0,0,0.0,0.0,,,
ARG_20240715_Colombia,41,False,65,0,0,1,0,28,36,0,1,0,0,0,0,0,0,0,0.151,0.0,,,
ARG_20240715_Colombia,23,False,90,0,0,2,1,47,57,0,1,0,0,3,3,0,0,0,0.074,0.0,,,
ARG_20240715_Colombia,16,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20240715_Colombia,33,False,90,0,0,0,0,46,57,0,2,0,3,0,4,0,0,0,0.0,0.0,,,
ARG_20240715_Colombia,52,False,-6,1,0,1,1,3,5,0,0,0,0,0,2,0,0,0,0.199,0.0,,,
ARG_20240715_Colombia,27,False,-6,0,0,1,0,8,9,0,0,0,4,0,0,0,0,0,0.003,0.0,,,
ARG_20240715_Colombia,22,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20240715_Colombia,18,False,90,0,0,0,0,41,43,0,1,0,2,2,1,0,0,0,0.0,0.0,,,
ARG_20240715_Colombia,45,False,25,0,0,2,1,6,16,0,0,0,1,0,0,0,0,0,0.448,0.0,,,
ARG_20240715_Colombia,28,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20240715_Colombia,14,False,90,0,0,0,0,27,32,0,0,0,0,1,2,0,0,0,0.0,0.0,,,
ARG_20240715_Colombia,36,False,96,0,0,1,0,55,59,0,1,0,2,0,3,1,0,0,0.041,0.0,,,
ARG_20240715_Colombia,8,False,71,0,0,0,0,20,31,0,1,0,0,0,1,0,0,0,0.0,0.0,,,
ARG_20240715_Colombia,34,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20240715_Colombia,12,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20240715_Colombia,9,False,19,0,0,0,0,13,21,0,0,0,2,0,0,0,0,0,0.0,0.0,,,
ARG_20240715_Colombia,54,False,96,0,0,1,0,10,14,0,0,0,0,1,2,0,0,0,0.072,0.0,,,
ARG_20240715_Colombia,35,False,96,0,0,0,0,58,62,0,0,0,2,2,1,0,0,0,0.0,0.0,,,
