match_id,player_name,date,competition,opponent,started,position,minutes_played,goals,assists,shots,shots_on_target,xg,xag,passes_completed,passes_attempted,key_passes,progressive_passes,tackles,interceptions,blocks,yellow_cards,red_cards,saves,goals_against_gk,clean_sheet
ARG_20221218_France,Enzo Fernández,2022-12-18,FIFA World Cup,France,True,Center Defensive Midfield,90,0,0,2,1,0.072,0.0,79,94,1,0,9,1,2,1,0,,,
ARG_20221203_Australia,Nicolás Otamendi,2022-12-03,FIFA World Cup,Australia,True,Left Center Back,90,0,1,0,0,0.0,0.0,91,96,0,0,0,2,0,0,0,,,
ARG_20221203_Australia,Lionel Messi,2022-12-03,FIFA World Cup,Australia,True,Center Forward,90,1,0,6,2,0.343,0.0,53,61,4,0,1,0,0,0,0,,,
ARG_20221203_Australia,Nicolás Tagliafico,2022-12-03,FIFA World Cup,Australia,False,,19,0,0,1,0,0.052,0.0,10,13,0,0,0,0,0,0,0,,,
ARG_20221203_Australia,Germán Pezzella,2022-12-03,FIFA World Cup,Australia,False,,30,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,,
ARG_20221203_Australia,Rodrigo De Paul,2022-12-03,FIFA World Cup,Australia,True,Right Center Midfield,90,0,0,0,0,0.0,0.0,76,91,3,0,2,3,1,0,0,,,
ARG_20221203_Australia,Lautaro Martínez,2022-12-03,FIFA World Cup,Australia,False,,19,0,0,4,2,0.749,0.0,7,10,0,0,0,0,0,0,0,,,
ARG_20221203_Australia,Leandro Paredes,2022-12-03,FIFA World Cup,Australia,False,,30,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,,
ARG_20221203_Australia,Marcos Acuña,2022-12-03,FIFA World Cup,Australia,True,Left Back,71,0,0,0,0,0.0,0.0,52,60,0,0,3,0,2,0,0,,,
ARG_20221203_Australia,Cristian Romero,2022-12-03,FIFA World Cup,Australia,True,Right Center Back,90,0,0,0,0,0.0,0.0,72,78,0,0,2,2,1,0,0,,,
ARG_20221203_Australia,Guido Rodríguez,2022-12-03,FIFA World Cup,Australia,False,,30,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,,
ARG_20221203_Australia,Lisandro Martínez,2022-12-03,FIFA World Cup,Australia,False,,41,0,0,0,0,0.0,0.0,18,19,0,0,1,0,1,0,0,,,
ARG_20221203_Australia,Alexis Mac Allister,2022-12-03,FIFA World Cup,Australia,True,Left Center Midfield,79,0,0,0,0,0.0,0.0,40,46,1,0,1,2,1,0,0,,,
ARG_20221203_Australia,Gonzalo Montiel,2022-12-03,FIFA World Cup,Australia,False,,11,0,0,0,0,0.0,0.0,4,5,0,0,0,1,1,0,0,,,
ARG_20221203_Australia,Exequiel Palacios,2022-12-03,FIFA World Cup,Australia,False,,11,0,0,1,0,0.047,0.0,5,7,1,0,0,1,0,0,0,,,
ARG_20221203_Australia,Thiago Almada,2022-12-03,FIFA World Cup,Australia,False,,30,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,,
ARG_20221203_Australia,Nahuel Molina,2022-12-03,FIFA World Cup,Australia,True,Right Back,79,0,0,0,0,0.0,0.0,55,61,0,0,1,4,1,0,0,,,
ARG_20221203_Australia,Julián Álvarez,2022-12-03,FIFA World Cup,Australia,True,Right Wing,71,1,0,1,1,0.281,0.0,15,17,0,0,2,0,3,0,0,,,
ARG_20221203_Australia,Enzo Fernández,2022-12-03,FIFA World Cup,Australia,True,Center Defensive Midfield,90,0,0,0,0,0.0,0.0,94,100,0,0,3,1,2,0,0,,,
ARG_20221130_Poland,Nicolás Otamendi,2022-11-30,FIFA World Cup,Poland,True,Left Center Back,90,0,0,0,0,0.0,0.0,89,93,0,0,1,1,1,0,0,,,
ARG_20221130_Poland,Lionel Messi,2022-11-30,FIFA World Cup,Poland,True,Center Forward,90,0,0,7,4,1.163,0.0,59,70,4,0,1,0,1,0,0,,,
ARG_20221130_Poland,Nicolás Tagliafico,2022-11-30,FIFA World Cup,Poland,False,,32,0,0,1,1,0.224,0.0,38,38,1,0,0,0,0,0,0,,,
ARG_20221130_Poland,Germán Pezzella,2022-11-30,FIFA World Cup,Poland,False,,12,0,0,0,0,0.0,0.0,18,18,0,0,0,0,0,0,0,,,
ARG_20221130_Poland,Rodrigo De Paul,2022-11-30,FIFA World Cup,Poland,True,Right Center Midfield,90,0,0,1,1,0.315,0.0,142,153,1,0,2,3,0,0,0,,,
ARG_20221130_Poland,Lautaro Martínez,2022-11-30,FIFA World Cup,Poland,False,,12,0,0,1,0,0.18,0.0,10,11,0,0,0,0,0,0,0,,,
ARG_20221130_Poland,Leandro Paredes,2022-11-30,FIFA World Cup,Poland,False,,32,0,0,0,0,0.0,0.0,77,80,0,0,0,0,0,0,0,,,
ARG_20221130_Poland,Marcos Acuña,2022-11-30,FIFA World Cup,Poland,True,Left Back,58,0,0,2,0,0.076,0.0,35,43,0,0,1,0,3,1,0,,,
ARG_20221130_Poland,Cristian Romero,2022-11-30,FIFA World Cup,Poland,True,Right Center Back,90,0,0,0,0,0.0,0.0,67,76,0,0,1,1,0,0,0,,,
ARG_20221130_Poland,Guido Rodríguez,2022-11-30,FIFA World Cup,Poland,False,,30,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,,
ARG_20221130_Poland,Lisandro Martínez,2022-11-30,FIFA World Cup,Poland,False,,30,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,,
ARG_20221130_Poland,Alexis Mac Allister,2022-11-30,FIFA World Cup,Poland,True,Left Center Midfield,82,1,0,2,2,0.238,0.0,50,54,3,0,2,0,2,0,0,,,
ARG_20221130_Poland,Gonzalo Montiel,2022-11-30,FIFA World Cup,Poland,False,,30,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,,
ARG_20221130_Poland,Exequiel Palacios,2022-11-30,FIFA World Cup,Poland,False,,30,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,,
ARG_20221130_Poland,Thiago Almada,2022-11-30,FIFA World Cup,Poland,False,,8,0,0,0,0,0.0,0.0,12,13,1,0,0,0,0,0,0,,,
ARG_20221130_Poland,Nahuel Molina,2022-11-30,FIFA World Cup,Poland,True,Right Back,90,0,1,0,0,0.0,0.0,71,78,1,0,3,0,4,0,0,,,
ARG_20221130_Poland,Julián Álvarez,2022-11-30,FIFA World Cup,Poland,True,Left Wing,78,1,0,6,3,0.811,0.0,20,24,0,0,1,0,1,0,0,,,
ARG_20221130_Poland,Enzo Fernández,2022-11-30,FIFA World Cup,Poland,True,Center Defensive Midfield,78,0,1,1,0,0.025,0.0,86,93,1,0,2,2,0,0,0,,,
ARG_20221126_Mexico,Nicolás Otamendi,2022-11-26,FIFA World Cup,Mexico,True,Right Center Back,90,0,0,0,0,0.0,0.0,76,84,0,0,2,1,2,0,0,,,
ARG_20221126_Mexico,Lionel Messi,2022-11-26,FIFA World Cup,Mexico,True,Right Center Forward,90,1,1,2,1,0.101,0.0,38,45,0,0,1,0,0,0,0,,,
ARG_20221126_Mexico,Nicolás Tagliafico,2022-11-26,FIFA World Cup,Mexico,False,,30,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,,
ARG_20221126_Mexico,Germán Pezzella,2022-11-26,FIFA World Cup,Mexico,False,,30,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,,
ARG_20221126_Mexico,Rodrigo De Paul,2022-11-26,FIFA World Cup,Mexico,True,Right Defensive Midfield,90,0,0,0,0,0.0,0.0,59,70,0,0,3,0,2,0,0,,,
ARG_20221126_Mexico,Lautaro Martínez,2022-11-26,FIFA World Cup,Mexico,True,Left Center Forward,62,0,0,1,0,0.138,0.0,3,7,0,0,0,0,1,0,0,,,
ARG_20221126_Mexico,Leandro Paredes,2022-11-26,FIFA World Cup,Mexico,False,,30,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,,
ARG_20221126_Mexico,Marcos Acuña,2022-11-26,FIFA World Cup,Mexico,True,Left Back,90,0,0,0,0,0.0,0.0,28,37,1,0,2,1,3,0,0,,,
ARG_20221126_Mexico,Cristian Romero,2022-11-26,FIFA World Cup,Mexico,False,,22,0,0,0,0,0.0,0.0,3,4,0,0,0,1,0,0,0,,,
