player_name,league,club,season,date,opponent,is_home,result,minutes,goals,shots,xg,xag,assists,key_passes,yellow_cards,red_cards
Lisandro Martínez,ENG-Premier League,Manchester United,2024-25,2024-10-27,,,,90,0,0,0.0,0.0,0,0,0,0
Lisandro Martínez,ENG-Premier League,Manchester United,2024-25,2024-11-03,,,,90,0,0,0.0,0.0,0,0,1,0
Lisandro Martínez,ENG-Premier League,Manchester United,2024-25,2024-11-10,,,,90,0,0,0.0,0.0,0,0,0,0
Lisandro Martínez,ENG-Premier League,Manchester United,2024-25,2024-12-01,,,,90,0,0,0.0,0.0,0,0,1,0
Lisandro Martínez,ENG-Premier League,Manchester United,2024-25,2024-12-07,,,,90,0,2,0.0661451667547226,0.0,0,0,0,0
Lisandro Martínez,ENG-Premier League,Manchester United,2024-25,2024-12-15,,,,90,0,1,0.02497120574116707,0.47731778025627136,1,2,0,0
Lisandro Martínez,ENG-Premier League,Manchester United,2024-25,2024-12-22,,,,90,0,2,0.15665662288665771,0.022582674399018288,0,1,0,0
Lisandro Martínez,ENG-Premier League,Manchester United,2024-25,2024-12-26,,,,90,0,1,0.05416097119450569,0.0,0,0,0,0
Lisandro Martínez,ENG-Premier League,Manchester United,2024-25,2024-12-30,,,,68,0,0,0.0,0.2680741548538208,0,1,1,0
Lisandro Martínez,ENG-Premier League,Manchester United,2024-25,2025-01-05,,,,90,1,1,0.11607535928487778,0.28333500027656555,0,1,0,0
Lisandro Martínez,ENG-Premier League,Manchester United,2024-25,2025-01-16,,,,90,0,0,0.0,0.19886107742786407,0,1,1,0
Lisandro Martínez,ENG-Premier League,Manchester United,2024-25,2025-01-26,,,,90,1,1,0.020723477005958557,0.0,0,0,0,0
Lisandro Martínez,ENG-Premier League,Manchester United,2024-25,2025-02-02,,,,83,0,2,0.1247740238904953,0.0,0,0,0,0
Giovani Lo Celso,ESP-La Liga,Real Betis,2024-25,2024-09-13,,,,24,0,0,0.0,0.10057341307401657,0,1,0,0
Giovani Lo Celso,ESP-La Liga,Real Betis,2024-25,2024-09-18,,,,84,2,4,0.8920278549194336,0.9095664024353027,0,4,0,0
Giovani Lo Celso,ESP-La Liga,Real Betis,2024-25,2024-09-23,,,,90,1,2,0.046851448714733124,0.028187094256281853,0,1,1,0
Giovani Lo Celso,ESP-La Liga,Real Betis,2024-25,2024-09-26,,,,85,1,2,0.47652217745780945,0.18037763237953186,0,3,0,0
Giovani Lo Celso,ESP-La Liga,Real Betis,2024-25,2024-09-29,,,,90,1,5,0.3536425530910492,0.31152647733688354,0,4,0,0
Giovani Lo Celso,ESP-La Liga,Real Betis,2024-25,2024-10-06,,,,90,0,3,0.13929833471775055,0.06336735934019089,0,2,0,0
Giovani Lo Celso,ESP-La Liga,Real Betis,2024-25,2024-11-10,,,,32,0,1,0.06493420898914337,0.3484777808189392,1,1,0,0
Giovani Lo Celso,ESP-La Liga,Real Betis,2024-25,2024-11-23,,,,27,0,0,0.0,0.451788991689682,0,1,0,0
Giovani Lo Celso,ESP-La Liga,Real Betis,2024-25,2024-12-01,,,,90,0,1,0.02105463668704033,0.1648123562335968,0,2,0,0
Giovani Lo Celso,ESP-La Liga,Real Betis,2024-25,2024-12-07,,,,90,1,2,0.7616631984710693,0.29756319522857666,0,1,0,0
Giovani Lo Celso,ESP-La Liga,Real Betis,2024-25,2024-12-15,,,,77,1,2,0.15226133167743683,0.019381998106837273,0,1,1,0
Giovani Lo Celso,ESP-La Liga,Real Betis,2024-25,2024-12-22,,,,90,0,1,0.04227995127439499,0.29247158765792847,0,3,0,0
